unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,text_all
62,The Persistence of Memory,4.0,"it makes me feel a bit somber, calm, and nostalgic.",3.0,4.0,4.0,2.0,4.0,6.0,5000.0,dining room,by yourself,fall,pear,"it would include like an acoustic guitar and a simple, slow, calm melody. similar to like latin music.","it makes me feel a bit somber, calm, and nostalgic. pear it would include like an acoustic guitar and a simple, slow, calm melody. similar to like latin music. dining room by yourself fall"
63,The Persistence of Memory,7.0,"this painting makes me feel the fluidity of time, which in turn makes me feel a sense of existential dread. overall, this painting makes me feel somewhat uncomfortable.",4.0,2.0,2.0,5.0,7.0,4.0,80.0,"dining room,office",by yourself,fall,"a piece of speck that has been left outside of it's packaging for 2 days, making it more dry.","a piano composition that is very quiet, lowkey and elegant but composed in such a way that it feels uncomfortable and anxious to listen to.","this painting makes me feel the fluidity of time, which in turn makes me feel a sense of existential dread. overall, this painting makes me feel somewhat uncomfortable. a piece of speck that has been left outside of it's packaging for 2 days, making it more dry. a piano composition that is very quiet, lowkey and elegant but composed in such a way that it feels uncomfortable and anxious to listen to. dining room,office by yourself fall"
64,The Persistence of Memory,5.0,i feel the painting illustrates the passage of time and the inevitable change it brings. this is demonstrated with the clocks melting overtime.,5.0,2.0,2.0,4.0,3.0,6.0,200.0,bedroom,"by yourself,family members",fall,chocolate,"the sound track would have violin and piano, with long notes that fade out.","i feel the painting illustrates the passage of time and the inevitable change it brings. this is demonstrated with the clocks melting overtime. chocolate the sound track would have violin and piano, with long notes that fade out. bedroom by yourself,family members fall"
65,The Persistence of Memory,4.0,"this painting made me feel unrealistic, a little bit of conflict between chaos and peace.",2.0,2.0,3.0,2.0,5.0,4.0,10.0,"bedroom,living room","by yourself,strangers",fall,a desert made of drinks like cocktail.,clock ticking with a little breeze in the background.,"this painting made me feel unrealistic, a little bit of conflict between chaos and peace. a desert made of drinks like cocktail. clock ticking with a little breeze in the background. bedroom,living room by yourself,strangers fall"
66,The Persistence of Memory,3.0,"it is odd, i feel like it is a sad picture, but i cannot understand what happened in the picture, or what the message artist would like to tell us.",4.0,1.0,2.0,4.0,12.0,6.0,0.0,bathroom,by yourself,winter,shawarma,"the music ""memories"", in the movie top gun (1986), when goose dies. it is not very sad, but a bit sad desolate, and the picture and the music makes me reflect on memories, and regret on past things, that you can't go back.","it is odd, i feel like it is a sad picture, but i cannot understand what happened in the picture, or what the message artist would like to tell us. shawarma the music ""memories"", in the movie top gun (1986), when goose dies. it is not very sad, but a bit sad desolate, and the picture and the music makes me reflect on memories, and regret on past things, that you can't go back. bathroom by yourself winter"
67,The Persistence of Memory,8.0,it provokes a daunting feeling in me. the unchanged solid landscape is juxtaposed with the melting clocks. almost like that time is moving so fast it has melted but nothing has really changed. it reminds me of my own mortality and that the natural world does not care about our measures of time. once our time is up the world does not relent.,5.0,1.0,3.0,4.0,3.0,6.0,500.0,living room,"by yourself,friends",fall,beef wellington,"a slow strumming of guitar. the vocalist, if there is one, has a mournful tone to their lyrics. the distant playing of drums. and at the end all the instruments start to fade.","it provokes a daunting feeling in me. the unchanged solid landscape is juxtaposed with the melting clocks. almost like that time is moving so fast it has melted but nothing has really changed. it reminds me of my own mortality and that the natural world does not care about our measures of time. once our time is up the world does not relent. beef wellington a slow strumming of guitar. the vocalist, if there is one, has a mournful tone to their lyrics. the distant playing of drums. and at the end all the instruments start to fade. living room by yourself,friends fall"
68,The Persistence of Memory,8.0,it makes me feel lonely and sad.,4.0,1.0,3.0,4.0,5.0,7.0,2000.0,office,by yourself,fall,pizza,sad and dreary,it makes me feel lonely and sad. pizza sad and dreary office by yourself fall
69,The Persistence of Memory,8.0,"the painting makes me feel that time is fading, and there's no hope left for the living species on earth since the horse (is it?) is almost dying. the clock, lying like a lump of mud on the table and hanging on a tree branch like a bathrobe, makes me feel that time already lost its meaning in this space. the empty space and dark colors made me feel oppressed. at the same time, the messy lines made me feel disordered.",5.0,2.0,2.0,5.0,4.0,4.0,6000000.0,living room,friends,fall,crab.,"an indescribable sound of wind, accompanied by drumbeats without a fixed pattern. the deep sound of the piano is mixed with the faint sound of the violin.","the painting makes me feel that time is fading, and there's no hope left for the living species on earth since the horse (is it?) is almost dying. the clock, lying like a lump of mud on the table and hanging on a tree branch like a bathrobe, makes me feel that time already lost its meaning in this space. the empty space and dark colors made me feel oppressed. at the same time, the messy lines made me feel disordered. crab. an indescribable sound of wind, accompanied by drumbeats without a fixed pattern. the deep sound of the piano is mixed with the faint sound of the violin. living room friends fall"
70,The Persistence of Memory,8.0,"this picture makes me feel uneasy but also reflective. the melting clocks make time feel strange and unreliable, and the empty landscape feels sad and lonely. it's like telling us to beware that time is always ticking.",5.0,2.0,2.0,5.0,6.0,6.0,5.0,bathroom,"by yourself,coworkers/classmates,friends",fall,fried rice,"i imagine slow, echoing sounds with stretched notes and long pauses. the music would feel mellow and slightly unsettling, as if time is moving oddly and everything is suspended.","this picture makes me feel uneasy but also reflective. the melting clocks make time feel strange and unreliable, and the empty landscape feels sad and lonely. it's like telling us to beware that time is always ticking. fried rice i imagine slow, echoing sounds with stretched notes and long pauses. the music would feel mellow and slightly unsettling, as if time is moving oddly and everything is suspended. bathroom by yourself,coworkers/classmates,friends fall"
71,The Persistence of Memory,6.0,eerie,4.0,2.0,3.0,5.0,4.0,6.0,10.0,"living room,office",by yourself,summer,octopus,"slow, soft, sombre style","eerie octopus slow, soft, sombre style living room,office by yourself summer"
72,The Persistence of Memory,8.0,this painting makes me feel calm.,2.0,4.0,5.0,2.0,4.0,5.0,1000.0,"bathroom,bedroom,dining room,living room","by yourself,family members,friends","spring,summer",a pizza,a calm sountrack with a relaxing and laze inducing melody,"this painting makes me feel calm. a pizza a calm sountrack with a relaxing and laze inducing melody bathroom,bedroom,dining room,living room by yourself,family members,friends spring,summer"
73,The Persistence of Memory,5.0,surreal and sluggish as if everything is melting and slowing down,5.0,1.0,1.0,4.0,7.0,7.0,10000000.0,"bathroom,bedroom,dining room,living room,office","coworkers/classmates,family members,friends",fall,melted cheese,slow and slurry bass sounds with irregular rhythm,"surreal and sluggish as if everything is melting and slowing down melted cheese slow and slurry bass sounds with irregular rhythm bathroom,bedroom,dining room,living room,office coworkers/classmates,family members,friends fall"
74,The Persistence of Memory,8.0,"i feel a sense of quiet isolation. the vast, empty landscape and the stillness of the water create a very calm atmosphere, despite the strange objects. it makes me feel lonely, as if i am the only person left in a world where time has stopped moving.",1.0,3.0,3.0,4.0,14.0,10.0,30000000.0,office,"by yourself,friends",fall,noodle,"a very low-pitched voice, with a hollow quality. at the same time, the sound is sluggish.","i feel a sense of quiet isolation. the vast, empty landscape and the stillness of the water create a very calm atmosphere, despite the strange objects. it makes me feel lonely, as if i am the only person left in a world where time has stopped moving. noodle a very low-pitched voice, with a hollow quality. at the same time, the sound is sluggish. office by yourself,friends fall"
